Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
07/07/2020,341,4,25,35,107,69,55,44,19,8,4,0,184,156,1,107,12,95,85,11,31,0,0,0,0,0,3,0,1,0,3,1,0,3,0,1,0,0,0,0,2,3,2,5,4,6,3,0,9,16,0,4,2,13,4,1,1
05/20/2022,1117,2,35,256,201,209,147,123,98,52,31,0,610,502,5,232,98,230,344,60,153,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,1,5,2,2,1,7,5,12,0,17,18,0,4,2,13,14,0,2
03/08/2022,165,2,12,44,40,24,16,14,12,11,4,0,87,73,5,30,11,26,65,9,24,0,0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,1,0,3,0,1,1,4,2,0,6,6,0,3,1,5,3,0,0
10/31/2020,1066,10,82,136,272,222,169,130,86,39,12,0,544,522,0,387,41,164,293,48,133,0,0,1,0,2,1,5,1,0,2,8,0,4,1,2,3,0,0,2,6,4,14,13,21,15,7,0,38,44,0,24,3,32,19,2,2
06/11/2022,537,1,30,73,106,113,86,69,45,32,13,0,321,215,1,110,45,130,144,22,86,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,5,1,1,6,4,5,7,0,15,15,0,6,2,15,7,0,0
04/12/2020,341,33,136,28,32,56,54,60,46,34,31,0,144,197,0,103,8,120,60,21,29,0,0,1,2,3,11,6,10,0,16,17,0,4,1,20,8,0,0,0,2,7,16,31,29,30,21,0,56,80,0,34,4,67,25,6,0
12/28/2020,1666,18,79,203,367,360,217,243,170,66,40,0,846,814,6,678,77,292,366,75,178,0,0,0,0,3,2,7,6,0,6,12,0,7,1,4,6,0,0,2,3,1,7,18,14,20,14,0,38,41,0,22,4,30,20,3,0
07/03/2022,453,1,36,51,101,90,65,54,41,33,18,0,265,187,1,92,29,108,143,17,64,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4,5,2,3,5,10,7,0,18,18,0,6,3,18,9,0,0
09/01/2022,564,0,20,142,64,107,71,78,50,27,25,0,323,240,1,147,28,164,133,20,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,2,6,3,0,12,8,0,3,1,5,11,0,0
05/28/2022,618,2,31,93,114,133,94,66,56,41,21,0,348,270,0,143,44,102,205,36,88,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,1,2,4,3,2,4,7,8,0,20,11,0,5,1,13,10,1,1
06/10/2022,846,0,27,163,197,166,108,92,69,30,21,0,471,368,7,188,62,202,211,58,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,1,7,3,7,0,17,10,0,6,1,13,6,1,0
12/26/2020,955,19,81,94,234,179,155,140,89,41,23,0,506,446,3,392,29,149,252,46,87,0,0,0,1,0,3,9,6,0,8,11,0,5,0,6,8,0,0,2,10,5,7,13,16,16,12,0,42,39,0,27,1,35,11,5,2
04/06/2021,859,4,67,134,234,186,126,90,56,18,15,0,440,418,1,233,65,253,212,27,69,0,0,0,0,1,3,0,0,0,0,4,0,3,0,1,0,0,0,0,2,8,10,17,14,8,8,0,29,38,0,12,2,42,7,2,2
05/17/2022,1398,0,37,370,257,282,151,148,95,64,30,1,815,574,9,292,100,271,437,70,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,3,2,6,7,9,1,27,10,0,4,2,15,13,2,1
09/11/2021,321,6,32,65,71,71,48,29,16,15,6,0,182,138,1,84,10,70,94,25,38,0,0,0,0,1,1,1,3,0,2,4,0,2,0,3,1,0,0,0,4,5,9,3,6,2,3,0,14,18,0,8,0,17,6,0,1
11/17/2020,2462,21,145,266,586,490,390,344,227,104,55,0,1273,1181,8,1002,78,433,550,102,297,0,0,0,0,4,10,3,4,0,7,14,0,10,1,6,4,0,0,3,7,11,13,21,40,34,16,0,66,79,0,47,6,60,23,5,4
04/05/2020,292,26,146,3,31,50,49,73,42,20,24,0,127,165,0,84,12,116,58,10,12,0,0,0,2,5,2,10,7,0,8,18,0,5,0,18,3,0,0,0,3,10,24,36,26,24,23,0,55,91,0,30,10,82,16,7,1
03/26/2022,197,1,6,28,50,46,31,21,11,6,4,0,94,92,11,36,18,12,83,6,42,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,3,0,5,1,0,1,0,5,0,0,0
02/16/2021,213,5,33,24,65,30,43,22,17,8,4,0,113,99,1,50,10,40,81,8,24,0,0,0,0,0,1,3,1,0,1,4,0,2,0,2,1,0,0,0,2,3,3,7,7,6,5,0,23,10,0,6,0,16,9,2,0
10/10/2021,173,6,25,31,38,32,22,21,15,9,5,0,98,74,1,37,14,39,58,12,13,0,0,0,2,1,1,2,0,0,3,3,0,2,0,1,3,0,0,0,2,5,3,5,5,3,2,0,14,11,0,7,0,13,5,0,0
09/12/2021,266,5,34,55,62,52,39,25,18,13,2,0,166,100,0,43,16,85,69,15,38,0,0,2,0,0,1,1,1,0,3,2,0,2,0,1,2,0,0,0,1,4,8,8,9,4,0,0,16,18,0,6,1,23,3,0,1
07/04/2022,259,1,34,39,40,48,31,35,25,22,18,1,143,114,2,60,8,76,87,8,20,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,3,4,3,3,3,7,9,0,14,20,0,8,0,12,12,1,1
03/21/2020,125,2,62,0,18,25,20,28,16,13,5,0,53,72,0,27,6,63,27,2,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,4,6,7,18,9,14,4,0,23,39,0,12,4,34,11,1,0
08/13/2022,431,1,30,51,78,82,57,63,53,27,20,0,245,182,4,115,23,147,73,14,59,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,4,4,7,3,10,0,15,15,0,4,0,15,8,3,0
12/13/2021,2173,12,96,450,542,482,314,214,120,39,12,0,1118,1047,8,326,72,598,654,151,372,0,0,1,0,0,3,4,4,0,6,6,0,1,0,10,1,0,0,3,6,11,12,13,25,14,12,0,42,54,0,26,2,41,24,1,2
04/16/2020,677,31,152,8,118,113,119,121,94,63,41,0,320,357,0,265,19,223,104,20,46,0,0,0,2,3,6,8,12,0,14,17,0,5,3,16,7,0,0,0,5,10,15,33,33,32,24,0,57,95,0,48,2,72,22,8,0
05/14/2020,778,45,131,49,167,150,133,110,95,43,31,0,399,371,8,375,15,180,92,26,90,1,0,4,1,5,5,7,22,0,22,23,0,13,4,21,6,1,0,2,7,9,16,18,39,26,14,0,55,76,0,50,4,49,18,6,4
12/31/2020,970,22,71,89,250,199,141,119,79,56,37,0,491,477,2,275,38,138,361,46,112,0,0,0,0,2,3,11,6,0,10,12,0,9,0,8,5,0,0,2,1,5,6,12,17,12,16,0,33,38,0,12,2,35,18,4,0
05/01/2022,537,0,14,98,100,141,74,57,32,28,7,0,309,228,0,91,48,56,233,29,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,4,3,2,0,7,7,0,2,2,4,5,0,1
02/24/2022,237,4,15,62,53,49,26,20,10,13,4,0,133,102,2,49,21,39,80,17,31,0,0,0,0,0,0,2,2,0,1,3,0,0,0,3,1,0,0,0,2,0,3,3,1,4,2,0,10,5,0,2,0,7,6,0,0
04/10/2020,571,32,155,22,80,101,99,107,85,42,35,0,257,314,0,190,30,222,86,23,20,0,0,1,3,3,3,9,13,0,11,21,0,3,2,24,3,0,0,0,9,10,22,19,40,27,28,0,63,92,0,51,4,68,23,9,0
08/21/2020,430,5,21,60,139,88,46,54,29,11,3,0,242,186,2,230,17,56,94,14,19,0,0,0,1,1,1,1,1,0,3,2,0,4,0,0,1,0,0,1,0,1,3,5,4,3,4,0,12,8,1,11,0,6,3,1,0
09/09/2020,400,5,21,41,132,74,54,46,37,11,5,0,217,183,0,207,13,58,96,8,18,0,0,0,0,1,1,2,1,0,4,1,0,5,0,0,0,0,0,0,1,0,5,4,3,6,2,0,11,10,0,9,1,6,3,1,1
06/21/2021,46,3,9,11,11,9,7,1,5,2,0,0,24,22,0,12,0,17,8,1,8,0,0,0,0,1,1,1,0,0,3,0,0,1,0,2,0,0,0,0,2,2,1,3,0,1,0,0,7,2,0,1,0,6,2,0,0
03/17/2022,179,0,18,31,35,41,24,18,14,10,6,0,91,84,4,28,12,21,81,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,2,2,3,1,0,10,8,0,2,0,5,9,2,0
06/13/2021,28,5,5,5,3,10,4,3,2,1,0,0,18,10,0,5,0,17,3,0,3,0,0,2,0,2,1,0,0,0,0,5,0,3,0,1,1,0,0,0,2,1,0,1,1,0,0,0,5,0,0,2,0,2,1,0,0
08/06/2020,349,4,21,38,113,73,52,31,22,11,9,0,180,169,0,151,7,88,79,14,10,0,0,0,0,0,2,1,1,0,3,1,0,1,1,1,1,0,0,1,6,1,1,6,2,1,3,0,11,10,0,5,0,10,5,1,0
11/15/2021,692,5,36,194,121,145,100,66,35,20,11,0,347,339,6,105,11,177,218,58,123,0,0,0,0,0,2,1,2,0,4,1,0,1,0,2,2,0,0,1,4,4,5,4,8,4,6,0,19,17,0,7,2,17,8,1,1
01/30/2022,429,14,40,102,78,75,66,29,39,24,16,0,235,191,3,91,35,56,151,23,73,0,0,1,1,0,4,4,4,0,7,7,0,4,0,7,3,0,0,1,1,6,2,4,8,6,12,0,17,23,0,8,1,13,15,3,0
10/10/2020,442,5,31,40,115,107,67,59,35,9,10,0,230,212,0,169,10,56,145,17,45,0,0,0,0,1,2,1,1,0,3,2,0,0,1,2,2,0,0,0,3,1,4,5,2,8,8,0,14,17,0,8,0,10,12,1,0
03/30/2022,401,1,7,81,90,101,54,40,21,10,4,0,225,169,7,57,27,54,172,16,75,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,3,0,0,5,2,0,2,0,1,3,0,1
05/29/2022,543,0,30,104,118,98,75,59,45,22,22,0,300,241,2,102,38,101,193,39,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,2,3,3,11,0,18,12,0,4,4,11,10,1,0
07/30/2021,354,2,17,51,111,68,49,48,15,9,3,0,164,190,0,74,9,94,126,4,47,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,3,1,1,4,4,1,3,0,6,11,0,3,1,8,5,0,0
06/10/2020,233,12,29,10,57,46,31,36,26,18,9,0,130,100,3,113,4,53,35,5,23,0,0,1,2,2,1,4,2,0,5,7,0,5,1,6,0,0,0,0,1,3,2,8,3,6,6,0,17,12,0,6,1,16,6,0,0
